positionName,city,district,linestaion,companyFullName,companyShortName,industryField,financeStage,positionAdvantage,companyLabelList,education,salary,workYear,lastLogin,companySize,skillLables
大数据开发工程师,深圳,南山区,2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_南山;11号线/机场线_后海,腾讯科技（深圳）有限公司,腾讯,社交,上市公司,鹅厂大平台 同事牛人多,免费班车 成长空间 年度旅游 岗位晋升,本科,20k-40k,1-3年,2020-04-13 22:08:28,2000人以上,Hadoop Spark 数据分析 数据仓库
大数据开发工程师,深圳,南山区,1号线/罗宝线_深大;1号线/罗宝线_桃园,腾讯科技（深圳）有限公司,腾讯,社交,上市公司,PB级大数据平台 待遇优 团队氛围好,免费班车 成长空间 年度旅游 岗位晋升,本科,30k-55k,5-10年,2020-04-13 22:08:28,2000人以上,Flink 数据架构 数据挖掘 数据分析
大数据开发工程师,深圳,南山区,1号线/罗宝线_高新园;1号线/罗宝线_深大;2号线/蛇口线_科苑,爱客科技（深圳）有限公司,AfterShip,电商,不需要融资,全球项目、高薪资、高福利、国际团队,持续盈利 国际龙头企业 SaaS平台 极客氛围,本科,25k-40k,5-10年,2020-04-13 17:39:55,50-150人,
大数据开发工程师,北京,海淀区,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄;10号线_知春里,北京字节跳动科技有限公司,字节跳动,文娱丨内容,C轮,六险一金，弹性工作，免费三餐，租房补贴,扁平管理 弹性工作 大厨定制三餐 就近租房补贴,本科,25k-45k,3-5年,2020-04-13 21:45:09,2000人以上,
大数据开发工程师,北京,海淀区,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;10号线_海淀黄庄;10号线_知春里;10号线_知春路;13号线_大钟寺;13号线_知春路,北京字节跳动科技有限公司,字节跳动,文娱丨内容,C轮,薪资高、三餐免费、有加班费,扁平管理 弹性工作 大厨定制三餐 就近租房补贴,不限,20k-40k,不限,2020-04-13 22:14:48,2000人以上,Hive Hadoop Spark Flink
大数据开发工程师,杭州,西湖区,无具体路线！,杭州有赞科技有限公司,有赞,企业服务,上市公司,发展空间大,工程师氛围 弹性工作 扁平管理 上班不打卡,不限,20k-40k,1-3年,2020-04-13 20:34:30,2000人以上,Hadoop Spark Flink
大数据开发工程师,成都,高新区,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,成都创人所爱科技股份有限公司,tap4fun,游戏,不需要融资,五险一金/免费下午茶/扁平化管理,技能培训 节日礼物 年底双薪 带薪年假,本科,17k-34k,3-5年,2020-04-13 22:10:22,500-2000人,Hadoop 数据仓库 数据架构
大数据开发工程师,广州,天河区,1号线_体育西路;1号线_体育中心;3号线_体育西路;3号线_石牌桥;3号线_岗顶;3号线(北延段)_体育西路;5号线_猎德;5号线_潭村;APM线_花城大道;APM线_妇儿中心;APM线_黄埔大道;APM线_天河南;APM线_体育中心南,广州数说故事信息科技有限公司,DataStory,数据服务,B轮,"高速发展,奖励多多,企业大数据,业务导向",颜值高 双休日 高大上团建 带薪假,本科,14k-18k,3-5年,2020-04-13 22:11:45,150-500人,Hadoop Spark Java 数据处理
大数据开发工程师,北京,海淀区,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;10号线_海淀黄庄;10号线_知春里;10号线_知春路;13号线_知春路,北京金堤科技有限公司,天眼查,数据服务,不需要融资,公司发展好,专项奖金 股票期权 带薪年假 定期体检,本科,15k-30k,3-5年,2020-04-13 18:09:00,150-500人,数据仓库 数据分析 数据处理 数据库开发
大数据开发工程师,上海,浦东新区,无具体路线！,上海南天电脑系统有限公司,南天信息,"数据服务,移动互联网",上市公司,节日福利、午饭补贴、年度旅游、年度体检,,本科,15k-25k,3-5年,2020-04-13 17:29:12,500-2000人,Storm Hadoop 数据架构 Java
大数据开发工程师,深圳,福田区,1号线/罗宝线_科学馆;2号线/蛇口线_华强北;2号线/蛇口线_燕南;3号线/龙岗线_华新;3号线/龙岗线_通新岭;3号线/龙岗线_红岭;7号线_华强北;7号线_华新;7号线_黄木岗;7号线_八卦岭;7号线_红岭北;9号线_红岭北;9号线_园岭;9号线_红岭,深圳市博悦科创科技有限公司,博悦科创,移动互联网,不需要融资,五险一金 定期体检 员工旅游 年终奖,年底双薪 定期体检 绩效奖金 技能培训,大专,10k-18k,1-3年,2020-04-13 22:36:41,500-2000人,Hive Spark Hadoop
大数据开发工程师,北京,朝阳区,14号线东段_来广营;14号线东段_东湖渠,北京数美时代科技有限公司,数美,"企业服务,数据服务",C轮,"快速发展,待遇好,氛围好,六险一金",年底双薪 大数据 带薪年假 通讯津贴,本科,15k-30k,应届毕业生,2020-04-13 22:02:01,150-500人,Spark Flink Hive Scala
大数据开发工程师,北京,海淀区,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄;10号线_知春里,中科天玑数据科技股份有限公司,中科天玑,"移动互联网,数据服务",B轮,科学院孵化，福利待遇好，技术牛人多,全额五险一金 年终奖 项目奖金 优秀员工激励,本科,16k-26k,3-5年,2020-04-13 22:23:24,150-500人,Java
大数据开发工程师,上海,青浦区,无具体路线！,上海兆殷特科技有限公司,兆殷特,"移动互联网,企业服务",未融资,加班补贴，福利多多,节日礼物 股票期权 带薪年假 绩效奖金,不限,12k-20k,3-5年,2020-04-13 22:20:59,50-150人,Hadoop Spark MySQL Hive
大数据开发工程师,上海,静安区,1号线_中山北路;1号线_延长路;8号线_西藏北路,上海海万信息科技股份有限公司,海万科技,"移动互联网,金融",不需要融资,"带薪休假,节日礼金,体检旅游,年底奖金",,大专,10k-20k,3-5年,2020-04-13 22:17:58,500-2000人,Hadoop Spark Java 数据库开发
大数据开发工程师,北京,海淀区,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;10号线_海淀黄庄;10号线_知春里;10号线_知春路;13号线_大钟寺;13号线_知春路,北京字节跳动科技有限公司,字节跳动,文娱丨内容,C轮,弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，职业大牛，晋升空间，五险一金,扁平管理 弹性工作 大厨定制三餐 就近租房补贴,本科,18k-36k,1-3年,2020-04-12 15:55:22,2000人以上,算法
大数据开发工程师,上海,浦东新区,2号线_上海科技馆;2号线_世纪大道;4号线_世纪大道;4号线_浦电路(4号线);4号线_蓝村路;6号线_蓝村路;6号线_浦电路(6号线);6号线_世纪大道;6号线_源深体育中心;9号线_世纪大道,上海海万信息科技股份有限公司,海万科技,"移动互联网,金融",不需要融资,做五休二，交通便利，大牛团队,,大专,14k-18k,3-5年,2020-04-13 22:21:05,500-2000人,ETL 数据仓库
大数据开发工程师,北京,海淀区,10号线_知春路;10号线_西土城;13号线_大钟寺;13号线_知春路,北京音娱时光科技有限公司,音娱时光,移动互联网,A轮,团队优秀；海外市场；免费餐饮；租房津贴；,年底双薪 绩效奖金 带薪年假 免费健身,本科,20k-35k,3-5年,2020-04-13 21:35:10,50-150人,Hadoop Scala Spark 算法
大数据开发工程师,北京,海淀区,10号线_牡丹园;15号线_北沙滩,北京国双科技有限公司,Gridsum 国双,"数据服务,企业服务",上市公司,大数据人工智能企业、发展前景可观,节日礼物 年底双薪 带薪年假 午餐补助,本科,10k-15k,应届毕业生,2020-04-13 11:40:37,500-2000人,Hadoop Spark
大数据开发工程师,上海,浦东新区,2号线\2号线东延线_广兰路,上海基分文化传播有限公司,趣头条,文娱丨内容,上市公司,"弹性工作,精英团队,奖金丰厚,试用期全薪",专项奖金 带薪年假 弹性工作 管理规范,本科,30k-50k,3-5年,2020-04-13 21:15:40,500-2000人,Scala Storm Hadoop Spark
大数据开发工程师,北京,海淀区,无具体路线！,北京快乐茄信息技术有限公司,茄子快传,工具,B轮,大牛云集 16薪奖金多 下午茶 不打卡,技能培训 领导好 美女多 帅哥多,本科,30k-60k,5-10年,2020-04-13 21:28:11,150-500人,数据仓库 数据库开发 数据库
大数据开发工程师,北京,朝阳区,14号线东段_望京南;14号线东段_将台,浙江亿咖通科技有限公司,亿咖通科技,"移动互联网,硬件",不需要融资,五险一金、15薪,五险一金 午餐补助 通讯津贴 年底双薪,本科,30k-50k,5-10年,2020-04-13 21:06:37,500-2000人,Hadoop 算法 数据架构
大数据开发工程师,北京,朝阳区,1号线_四惠;6号线_十里堡,达令心潮（北京）商贸有限公司,达令家,电商,D轮及以上,技术大牛，办公环境优越,带薪年假 年底双薪 岗位晋升,本科,15k-20k,3-5年,2020-04-13 21:03:31,150-500人,Spark 数据仓库
大数据开发工程师,上海,黄浦区,4号线_西藏南路;4号线_鲁班路;8号线_西藏南路;9号线_马当路;13号线_马当路;13号线_世博会博物馆,引粒网络科技（上海）有限公司,引粒网络,社交,天使轮,极佳的办公环境，发展空间前景好,股票期权 带薪年假 午餐补助,本科,20k-40k,3-5年,2020-04-13 20:59:02,15-50人,MySQL 数据仓库
大数据开发工程师,杭州,滨江区,无具体路线！,湖北牛富软件有限公司,牛富软件,"金融,软件开发",不需要融资,周末双休,,本科,15k-25k,3-5年,2020-04-13 20:33:02,150-500人,Java
大数据开发工程师,北京,海淀区,4号线大兴线_魏公村;4号线大兴线_人民大学;4号线大兴线_海淀黄庄;10号线_海淀黄庄;10号线_知春里;10号线_知春路;13号线_大钟寺;13号线_知春路,北京字节跳动科技有限公司,字节跳动,文娱丨内容,C轮,六险一金，弹性工作，免费三餐,扁平管理 弹性工作 大厨定制三餐 就近租房补贴,本科,30k-60k,3-5年,2020-04-10 17:19:42,2000人以上,
大数据开发工程师,上海,徐汇区,1号线_徐家汇;3号线_虹桥路;3号线_宜山路;4号线_虹桥路;9号线_徐家汇;9号线_宜山路;10号线_交通大学;10号线_虹桥路;10号线_交通大学;10号线_虹桥路;11号线_交通大学;11号线_徐家汇;11号线_徐家汇;11号线_交通大学,上海乐言信息科技有限公司,乐言科技,企业服务,B轮,业界**团队 早期期权,股票期权,不限,20k-35k,3-5年,2020-04-13 21:35:17,500-2000人,Hadoop Spark Storm
大数据开发工程师,北京,东城区,2号线_东直门;2号线_东四十条;13号线_东直门;机场线_东直门,脚印兄弟(北京)信息科技有限责任公司,悟空租车,"消费生活,电商",B轮,福利待遇好，晋升空间大，合伙人,专项奖金 股票期权 带薪年假 早晚餐,本科,10k-20k,1-3年,2020-04-13 20:29:33,150-500人,MySQL SQLServer Hive Hadoop
大数据开发工程师,上海,浦东新区,2号线_金科路;2号线_张江高科,上海商涌网络科技有限公司,商涌网络,数据服务,A轮,学习成长快 团队氛围好发展空间大新兴行业,带薪年假 定期体检 年底双薪 股票期权,本科,11k-22k,1-3年,2020-04-13 20:25:20,50-150人,Flink Spark 数据仓库 Linux
大数据开发工程师,杭州,西湖区,2号线_学院路;2号线_古翠路;2号线_丰潭路,北京广通信达软件股份有限公司杭州分公司,广通软件,"移动互联网,数据服务",上市公司,"技术驱动,行业前驱,领导好,扁平管理",扁平管理 岗位晋升 五险一金 技能培训,本科,15k-30k,3-5年,2020-04-13 21:13:29,500-2000人,数据分析
大数据开发工程师,北京,朝阳区,15号线_望京东,威讯柏睿数据科技（北京）有限公司,柏睿数据,"数据服务,信息安全",B轮,大数据 多绩效 BI 数据仓储,股票期权 专项奖金 带薪年假 弹性工作,本科,15k-30k,3-5年,2020-04-13 20:28:00,50-150人,Hadoop 数据分析 数据挖掘
大数据开发工程师,上海,黄浦区,无具体路线！,百联全渠道电子商务有限公司,百联全渠道电商,"电商,消费生活",不需要融资,绩效奖金、 带薪年假、午餐补助、岗位晋升,节日礼物 岗位晋升 五险一金 午餐补助,本科,16k-32k,3-5年,2020-04-13 21:36:51,500-2000人,
大数据开发工程师,广州,白云区,2号线_黄边,广州新数智能科技有限公司,新数智能科技,"移动互联网,人工智能",B轮,双休、五险一金、项目奖金、公司定期旅游,专项奖金 带薪年假 双休 六险一金,本科,20k-30k,3-5年,2020-04-13 20:02:36,50-150人,数据挖掘 数据架构 数据仓库 Hadoop
大数据开发工程师,北京,海淀区,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄,北京奇艺世纪科技有限公司,爱奇艺,文娱丨内容,上市公司,五险一金，带薪年假，绩效薪资，交通补贴,绩效奖金 五险一金 交通补助 带薪年假,本科,30k-50k,5-10年,2020-04-13 20:09:12,2000人以上,Hive Flink Spark Hadoop
大数据开发工程师,上海,浦东新区,无具体路线！,上海基分文化传播有限公司,趣头条,文娱丨内容,上市公司,六险一金；午餐补贴,专项奖金 带薪年假 弹性工作 管理规范,本科,40k-60k,3-5年,2020-04-13 19:30:44,500-2000人,Spark Hadoop Hive
大数据开发工程师,合肥,蜀山区,2号线_汽车西站,安徽东方国信城市智能与运营有限公司,东方国信,数据服务、企业服务,上市公司,平台好，核心岗位,,本科,6k-10k,3-5年,2020-04-13 22:14:48,2000人以上,数据分析 数据库 BI SQL
大数据开发工程师,上海,黄浦区,1号线_人民广场;2号线_南京东路;2号线_人民广场;8号线_人民广场;8号线_曲阜路;10号线_四川北路;10号线_天潼路;10号线_南京东路;10号线_豫园;10号线_四川北路;10号线_天潼路;10号线_南京东路;10号线_豫园;12号线_曲阜路;12号线_天潼路,特赞（上海）信息科技有限公司,特赞|Tezign,移动互联网,B轮,丰富的AI应用场景、精英团队、极客氛围,技能培训 扁平管理 弹性工作 全员持股,本科,25k-50k,5-10年,2020-04-13 21:02:00,150-500人,Hadoop Spark Hive 数据架构
大数据平台开发工程师,深圳,南山区,1号线/罗宝线_桃园;2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_南山;11号线/机场线_后海,腾讯科技（深圳）有限公司,腾讯,社交,上市公司,海量数据处理经验,免费班车 成长空间 年度旅游 岗位晋升,本科,20k-40k,不限,2020-04-13 22:08:40,2000人以上,Hive Hadoop Spark 数据仓库
大数据开发工程师,上海,黄浦区,1号线_人民广场;2号线_南京东路;2号线_人民广场;8号线_大世界;8号线_人民广场;8号线_曲阜路;10号线_天潼路;10号线_南京东路;10号线_豫园;10号线_天潼路;10号线_南京东路;10号线_豫园;12号线_曲阜路;12号线_天潼路,简阳联盟凯睿企业管理有限公司,联盟智能社区,"企业服务,人工智能",B轮,平台好 福利好 大牛多,带薪年假 定期体检 股票期权 美女多,本科,25k-50k,5-10年,2020-04-13 18:11:12,150-500人,Hadoop Spark
大数据开发工程师,杭州,余杭区,无具体路线！,杭州天猫车站科技有限公司,新康众,"电商,汽车丨出行",D轮及以上,五险一金 双休 弹性工作制,阿里合资 六险一金 独角兽 行业先驱,本科,22k-30k,5-10年,2020-04-13 19:09:13,2000人以上,Hadoop Spark
大数据开发工程师,上海,长宁区,3号线_延安西路;3号线_虹桥路;4号线_虹桥路;4号线_延安西路;10号线_虹桥路;10号线_宋园路;10号线_伊犁路;10号线_虹桥路;10号线_宋园路;10号线_伊犁路,飞书数字科技（上海）有限公司,飞书互动,"社交,广告营销",A轮,超长带薪年假 员工体检 健身卡 培训补贴,技能培训 扁平管理 五险一金 弹性工作,本科,20k-35k,5-10年,2020-04-13 19:08:27,150-500人,
